FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY TYPOLOGY updated,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,FOOD COMMODITY ITEM updated,SYNONYMS,URL,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,BEER,BEER,-,BEER IN CAN,BEER IN CAN,,,5,0.69,0.69,0.14,0.51,0.9,0.12,0.58,0.77,0.2,0.878,2.62,0.329,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BEER,BEER,-,BEER IN GLASS,BEER IN GLASS,,,9,1.03,0.96,0.52,0.42,2.27,0.29,0.67,1.17,0.5,1.117,3.412,0.275,G,G,G,ITEM
AGRICULTURAL PROCESSED,BEER,BEER,-,BEER MODULAR CAN,BEER MODULAR CAN,,,5,0.54,0.53,0.03,0.5,0.59,0.03,0.52,0.58,0.06,0.273,1.354,0.394,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BISCUITS,BISCUIT,-,CHOCOLATE OR CREAM FILLED COOKIES,CHOCOLATE CREAM COOKY,,,9,1.69,1.53,0.38,1.33,2.39,0.13,1.45,1.69,0.23,1.126,2.554,0.005,G,G,R,ITEM
AGRICULTURAL PROCESSED,BISCUITS,BISCUIT,-,SIMPLE COOKIES,COOKY,,,12,1.5,1.39,0.35,1.11,2.35,0.18,1.25,1.6,0.23,1.183,3.6,0.078,G,G,G,ITEM
AGRICULTURAL PROCESSED,BOTTLED WATER* (mineral water),WATER,-,MINERAL WATER,WATER,,,2,0.49,0.49,0.07,0.42,0.56,0.07,0.46,0.53,0.14,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,BREAD,BREAD,-,BREAD MULTICEREAL,BREAD MULTICEREAL,,,2,0.7,0.7,0.16,0.54,0.86,0.16,0.62,0.78,0.23,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,BREAD,BREAD,-,BREAD PLAIN,BREAD PLAIN,,,9,0.97,0.89,0.25,0.61,1.54,0.06,0.85,0.98,0.26,1.012,3.332,0.14,G,G,G,ITEM
AGRICULTURAL PROCESSED,BREAD,BREAD,-,BREAD WHOLE,BREAD WHOLE,,,5,0.78,0.77,0.13,0.55,0.91,0.12,0.76,0.89,0.17,-0.725,2.285,0.354,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BREAD FROZEN* (rolls frozen),BREAD,-,BREAD FROZEN,BREAD FROZEN,,,1,1.31,1.31,-,1.31,1.31,-,1.31,1.31,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,BREAKFAST CEREALS* (CORNFLAKES CEREAL CEREAL),BREAKFAST CEREAL,-,CORNFLAKES CEREAL CEREAL,CORNFLAKES CEREAL,,,1,2.64,2.64,-,2.64,2.64,-,2.64,2.64,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,CHOCOLATE,CHOCOLATE,-,DARK CHOCOLATE,DARK CHOCOLATE,,,3,2.67,2.71,0.14,2.49,2.82,0.11,2.6,2.77,0.05,-0.382,,0.637,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,CHOCOLATE,CHOCOLATE,-,MILK CHOCOLATE,MILK CHOCOLATE,,,1,3.6,3.6,-,3.6,3.6,-,3.6,3.6,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT,COFFEE,-,COFFEE GROUND,COFFEE GROUND,,,2,5.13,5.13,0.31,4.82,5.44,0.31,4.97,5.28,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT,COFFEE,-,COFFEE PARCHMENT,COFFEE PARCHMENT,,,4,8.47,8.29,1.74,6.34,10.94,1.4,7.17,9.59,0.21,0.227,1.605,0.881,Y,G,G,ITEM
AGRICULTURAL PROCESSED,COFFEE LIQUID,COFFEE,-,COFFEE DRIP FILTERED,COFFEE FILTER,,https://en.wikipedia.org/wiki/Indian_filter_coffee,2,0.6,0.6,0.14,0.46,0.73,0.14,0.53,0.66,0.23,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE LIQUID,COFFEE,-,COFFEE SOLUBLE POWDER,COFFEE POWDER,,,1,0.33,0.33,-,0.33,0.33,-,0.33,0.33,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE LIQUID,COFFEE,-,ESPRESSO,ESPRESSO,,,1,0.55,0.55,-,0.55,0.55,-,0.55,0.55,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,CRACKERS,CRACKER,-,FLAVORED CRACKER,FLAVOR CRACKER,,,4,1.01,0.93,0.15,0.91,1.26,0.02,0.91,1.02,0.15,1.134,2.317,0.011,Y,G,Y,ITEM
AGRICULTURAL PROCESSED,CRACKERS,CRACKER,-,PLAIN CRACKER,PLAIN CRACKER,,,8,1.24,1.35,0.2,0.97,1.45,0.08,1.02,1.39,0.16,-0.466,1.368,0.027,Y,G,Y,ITEM
AGRICULTURAL PROCESSED,CRACKERS,CRACKER,-,WHOLEGRAIN CRACKER,WHOLEGRAIN CRACKER,,,17,0.99,0.97,0.31,0.49,1.43,0.29,0.71,1.32,0.31,0.051,1.68,0.149,G,G,G,ITEM
AGRICULTURAL PROCESSED,CRISPBREAD**,CRISPBREAD,-,CRISPBREAD,CRISPBREAD,,https://en.wikipedia.org/wiki/Crispbread,6,1.36,1.35,0.11,1.19,1.53,0.08,1.3,1.45,0.08,-0.013,1.859,0.898,Y,G,G,ITEM
AGRICULTURAL PROCESSED,DRESSING,DRESSING,-,KETCHUP,KETCHUP,,,1,1.46,1.46,-,1.46,1.46,-,1.46,1.46,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,DRESSING,DRESSING,-,MAYONNAISE,MAYONNAISE,MAYO,https://en.wikipedia.org/wiki/Mayonnaise,1,2.04,2.04,-,2.04,2.04,-,2.04,2.04,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,DRESSING,DRESSING,-,TEMPE,TEMPEH,,https://en.wikipedia.org/wiki/Tempeh,1,1.1,1.1,-,1.1,1.1,-,1.1,1.1,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,EGG PASTA*,EGG PASTA,-,EGG PASTA,EGG PASTA,,,5,3.19,3.15,0.77,2.41,4.55,0.64,2.51,3.33,0.24,0.762,2.308,0.368,Y,n.a,G,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),FRUIT JUICE,-,APPLE JUICE,APPLE JUICE,,,1,2.84,2.84,-,2.84,2.84,-,2.84,2.84,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),FRUIT JUICE,-,BLUEBERRY JUICE,BLUEBERRY JUICE,,,1,3,3,-,3,3,-,3,3,-,-,-,n.a.,R,G,R,TYPOLOGY
