Unnamed: 0,RecipeDB Ingredient,Sueatable Ingredient,Similarity
1,onion,ONION,1.0000005
2,butter,BUTTER,1.0000001
3,garlic clove,GARLIC,0.93091893
4,water,WATER,0.9999997
5,olive oil,OLIVE OIL,1.0000002
6,egg,EGG,1.0000001
7,sugar,BEET SUGAR,0.858168
8,tomato,TOMATO,1.0
10,garlic,GARLIC,1.0
11,milk,CREAM,0.81191385
12,pepper,PEPPER,1.0000002
13,salt pepper,PEPPER,0.8245215
14,flour,MILLET FLOUR,0.88617915
16,cinnamon,VANILLA,0.8133867
17,lemon juice,LEMON,0.8710406
18,carrot,CARROT,0.99999994
19,purpose flour,MILLET FLOUR,0.8498385
20,vegetable oil,VEGETABLE,0.89689827
21,cumin,QUORN,0.91676456
22,cream,CREAM,1.0000002
23,ginger,GINGER,1.0000001
25,parmesan cheese,CHEESE SEMIHARD,0.8920519
26,soy sauce,SOY CREAM,0.9272915
27,beef,BEEF WITH BONE,0.8734178
29,potato,POTATO,1.0000002
30,green onion,GREEN BEAN,0.8683422
34,chicken broth,CHICKEN WITH BONE,0.8774245
35,lemon,LEMON,1.0000001
36,lime juice,LIME,0.81405807
37,chicken breast,CHICKEN WITH BONE,0.906942
40,mushroom,MUSHROOM,1.0000001
44,garlic powder,GARLIC,0.89976156
46,celery,CELERY,1.0
49,cheddar cheese,CHEESE SEMIHARD,0.8905337
50,cornstarch,CORN CAN,0.91880035
51,nutmeg,CASHEW NUT,0.8457706
54,white wine,WINE WHITE,0.9386349
55,vanilla extract,VANILLA,0.9132891
56,honey,HONEY,1.0000001
57,red bell pepper,RED CHILLI,0.84090567
58,tomato paste,TOMATO PEEL,0.961458
59,coriander,RADISH,0.8292822
61,chicken,CHICKEN WITH BONE,0.8235208
62,tomato sauce,TOMATO PEEL,0.92917967
63,mozzarella cheese,CHEESE SEMIHARD,0.85898393
65,almond,ALMOND,1.0000001
66,bacon,BACON,1.0000002
68,green bell pepper,GREEN BEAN,0.85023445
69,red pepper,RED CHILLI,0.8718159
71,turmeric,RADISH,0.82060635
72,cream cheese,HAZELNUT CREAM,0.8464663
73,rice,RICE,0.99999976
74,mayonnaise,MAYONNAISE,1.0000001
76,egg yolk,EGG PASTA,0.8684482
77,shallot,HAKE,0.81258374
79,green pepper,GREEN BEAN,0.8871416
80,vanilla,VANILLA,1.0
81,sesame oil,SESAME SEED,0.90985984
82,chicken stock,CHICKEN WITH BONE,0.82998073
83,scallion,GHERKIN,0.89594865
84,zucchini,ZUCCHINI,1.0
85,spinach,SPINACH,0.9999995
87,shrimp,SHRIMP,1.0
88,green chilies,GREEN BEAN,0.81793123
90,breadcrumb,BREAD WHOLE,0.86599237
92,raisin,RAISIN,0.99999964
93,orange juice,ORANGE JUICE,0.9999999
94,red wine,WINE RED,0.9764541
95,cucumber,CUCUMBER,1.0
96,beef broth,BEEF WITH BONE,0.8878119
98,lime,LIME,1.0000004
100,coconut milk,COCONUT MILK,0.9999999
101,yellow onion,ONION,0.8160138
102,egg white,EGG,0.8325162
105,avocado,AVOCADO,0.99999976
106,feta cheese,CHEESE SEMIHARD,0.8782011
107,flour tortilla,SORGHUM FLOUR,0.865431
108,red wine vinegar,WINE RED,0.92922735
112,coconut,COCONUT,1.0
113,walnut,WALNUT,1.0000001
115,lemon zest,LEMON,0.90579784
116,cheese,CHEESE,1.0
117,sesame seed,SESAME SEED,1.0000002
121,corn,CORN CAN,0.9656997
122,pork,PORK NECK,0.9637343
123,fish sauce,HAKE FISH STICK,0.8396492
126,pea,PEA,0.9999999
127,chicken breast half,CHICKEN WITH BONE,0.87138313
129,margarine,MARGARINE,1.0
130,monterey jack cheese,CHEESE SEMIHARD,0.818584
131,gingerroot,GINGER,0.8813709
133,chive,MILLET,0.82503307
134,onion powder,ONION,0.86456305
135,plain yogurt,PLAIN CRACKER,0.84736735
136,ketchup,KETCHUP,1.0000002
138,dill,WHITING,0.8204256
140,orange,ORANGE,0.9999999
141,apple,APPLE,0.9999998
143,corn tortilla,CORNFLAKES CEREAL,0.8759465
144,green bean,GREEN BEAN,0.9999999
145,ricotta cheese,CHEESE SEMIHARD,0.8821843
147,cabbage,CABBAGE LEAF,0.8500248
149,eggplant,EGGPLANT,0.99999976
150,peanut oil,PEANUT OIL,0.99999994
151,yeast,YEAST LIQUID,0.9366538
152,bell pepper,PEPPER,0.84351325
153,peanut,PEANUT,0.9999999
155,rice vinegar,RICE,0.82387125
157,whipping cream,CREAM,0.8703692
158,leek,WHITING,0.8467046
160,banana,BANANA,1.0000002
164,chicken thigh,CHICKEN WITH BONE,0.907408
165,caster sugar,CANE SUGAR,0.87913096
166,plain flour,BREAD PLAIN,0.8770541
169,bread,BREAD WHOLE,0.90631723
170,grain rice,RICE,0.8358457
171,buttermilk,SOY YOGURT,0.83587015
173,garlic salt,GARLIC,0.8938747
174,lettuce,LETTUCE,0.9999999
175,strawberry,STRAWBERRY,0.99999976
176,plum tomato,TOMATO,0.8391998
177,chocolate,CHOCOLATE,1.0000002
178,chickpea,CHICKPEA,1.0000001
179,rom tomato,TOMATO,0.9351766
181,cherry tomato,TOMATO PEEL,0.85139513
184,confectioner ' sugar,BEET SUGAR,0.8411959
187,cooking spray,COOKY,0.81212705
189,vegetable broth,VEGETABLE,0.8486829
190,mango,MANGO,0.9999999
191,pineapple,PINEAPPLE,1.0
194,cocoa powder,COCOA CAKE,0.8748765
196,yogurt,YOGURT FLAVOUR,0.98048997
197,lamb,LAMB WITH BONE,0.814067
198,bean,BEAN,1.0000002
