FOOD COMMODITY ITEM updated,mean
BEER IN CAN,0.69
BEER IN GLASS,1.03
BEER MODULAR CAN,0.54
CHOCOLATE CREAM COOKY,1.69
COOKY,1.5
WATER,0.49
BREAD MULTICEREAL,0.7
BREAD PLAIN,0.97
BREAD WHOLE,0.78
BREAD FROZEN,1.31
CORNFLAKES CEREAL,2.64
DARK CHOCOLATE,2.67
MILK CHOCOLATE,3.6
COFFEE GROUND,5.13
COFFEE PARCHMENT,8.47
COFFEE FILTER,0.6
COFFEE POWDER,0.33
ESPRESSO,0.55
FLAVOR CRACKER,1.01
PLAIN CRACKER,1.24
WHOLEGRAIN CRACKER,0.99
CRISPBREAD,1.36
KETCHUP,1.46
MAYONNAISE,2.04
TEMPEH,1.1
EGG PASTA,3.19
APPLE JUICE,2.84
BLUEBERRY JUICE,3.0
CRANBERRY JUICE,2.88
FIG JUICE,3.2
KIWI JUICE,2.84
MANGO JUICE,2.96
PINEAPPLE JUICE,2.78
STRAWBERRY JUICE,2.68
ORANGE JUICE,0.62
PEAR JUICE,0.49
BUCKWHEAT FLOUR,1.96
DURUM WHEAT,0.48
GRAHAM FLOUR,0.47
MAIZE FLOUR,1.31
MILLET FLOUR,1.37
OAT MEAL,1.13
SORGHUM FLOUR,1.33
WHEAT PLAIN FLOUR,0.61
WHOLE WHEAT FLOUR,0.38
CHOCOLATE,6.6
ICE CREAM,1.02
VANILLA,4.3
BEAN FLOUR,1.32
MUNG BEAN FLOUR,1.49
SOY MEAL,0.62
BEAN IN CAN,0.11
GREEN BEAN IN CAN,1.45
BEAN FROZEN,1.77
GREEN BEAN FROZEN,2.74
MARGARINE,1.43
ALMOND CHOCOLATE,4.8
HAZELNUT CHOCOLATE,3.43
ALMOND PASTE,2.98
HAZELNUT CREAM,2.71
HAZELNUT PASTE,1.69
PEANUT BUTTER,1.15
PEANUT PASTE,1.84
OLIVE OIL,3.84
PALM OIL,2.32
PEANUT OIL,2.9
RAPESEED OIL,2.4
SOYBEAN OIL,2.3
SUNFLOWER OIL,0.99
PASTA,1.24
PESTO,2.71
PESTO WITHOUT GARLIC,2.72
BEET SUGAR,0.89
CANE SUGAR,0.67
CAKE,2.23
COCOA CAKE,1.97
TOMATO CHOP,1.41
TOMATO PEEL,1.28
TOMATO PUREE,1.17
TOMATO ARRABBIATA,1.26
CARROT CAN,1.6
CORN CAN,1.36
CARROT FROZEN,0.27
ZUCCHINI FROZEN,1.35
SOY CREAM,1.62
ALMOND MILK,0.42
COCONUT MILK,0.41
RICE MILK,0.8
SOY MILK,0.85
QUORN,2.5
SOY BURGER,1.48
TOFU,2.33
SOY YOGURT,1.36
WINE RED,1.02
WINE WHITE,0.74
YEAST COMPRESS,0.82
YEAST DRY,3.29
YEAST LIQUID,0.5
BEEF BONE FREE,27.72
BEEF WITH BONE,19.54
BUFFALO BONE FREE,71.39
BUTTER,9.9
CREAM,5.34
MASCARPONE,5.7
MOZZARELLA,8.48
RICOTTA,3.4
STRACCHINO,4.92
ASIAGO,10.24
CAMEMBERT,7.55
CHEESE,11.87
CHEESE SEMIHARD,8.65
EMMENTAL,8.2
GOAT CHEESE,8.18
GRANA PADANO,14.27
PARMIGIANO REGGIANO,14.08
PECORINO,18.85
MEALWORM,2.84
EGG,3.23
HONEY,1.74
KANGAROO MEAT,4.1
LAMB BONE FREE,27.21
LAMB WITH BONE,18.01
BUFFALO MILK,3.75
COW MILK,1.43
GOAT MILK,1.44
PORK BONE FREE,5.79
BACON,4.03
PORK NECK,4.03
PORK HAM,7.93
PORK SAUSAGE,17.94
PORK WITH BONE,3.5
CHICKEN BONE FREE,4.24
EMU BONE FREE,1.5
DUCK BONE FREE,4.1
TURKEY BONE FREE,5.11
CHICKEN WITH BONE,3.25
DUCK WITH BONE,2.07
TURKEY WITH BONE,2.08
RABBIT WITH BONE,4.31
SNAIL,0.73
YOGURT FLAVOUR,2.81
YOGURT LACTOSE FREE,3.16
YOGURT WHITE,2.1
COFFEE GREEN,0.49
DATE,0.6
RAISIN,0.66
EXOTIC FRUIT,2.43
COCONUT,1.78
CLEMENTINE,0.42
LEMON,0.22
LIME,0.22
MANDARIN,0.4
ORANGE,0.35
POMELO,0.51
TANGERIN,0.38
APPLE,0.31
APRICOT,0.36
AVOCADO,0.54
BANANA,0.38
CARROB,1.1
CHERRY,0.49
FIG,0.31
GRAPE,0.39
GUAVA,0.28
KIWI,0.65
MANGO,0.33
MELON,0.56
PEACH,0.43
PEAR,0.29
PINEAPPLE,0.34
PLUM,0.27
POMEGRANATE,0.45
ROCKMELON,0.39
WATERMELON,0.52
OLIVE,0.59
BLACKBERRY,0.42
BLUEBERRY,0.64
CRANBERRY,0.9
CURRANT,0.64
GOOSEBERRY,0.84
RASPBERRY,0.63
STRAWBERRY,0.68
BARLEY,0.53
MAIZE,0.79
MILLET,0.86
OAT,0.7
QUINOA,0.96
RYE,0.41
SORGHUM,0.88
WHEAT,0.67
BEAN,0.67
CHICKPEA,0.67
COWPEA,0.48
GREEN BEAN,0.73
LENTIL,1.03
PEA,0.58
