RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
butter,BUTTER,1.0000001,9.9,54026.0,"[8, 10)"
milk,CREAM,0.81191385,5.34,29170.0,"[4, 6)"
cinnamon,VANILLA,0.8133867,4.3,19248.0,"[4, 6)"
cream,CREAM,1.0000002,5.34,17160.0,"[4, 6)"
parmesan cheese,CHEESE SEMIHARD,0.8920519,8.65,15578.0,"[8, 10)"
beef,BEEF WITH BONE,0.8734178,19.54,15348.0,"[18, 20)"
cheddar cheese,CHEESE SEMIHARD,0.8905337,8.65,8996.0,"[8, 10)"
vanilla extract,VANILLA,0.9132891,4.3,7912.0,"[4, 6)"
mozzarella cheese,CHEESE SEMIHARD,0.85898393,8.65,6936.0,"[8, 10)"
bacon,BACON,1.0000002,4.03,6516.0,"[4, 6)"
shallot,HAKE,0.81258374,10.12,5648.0,"[10, 12)"
vanilla,VANILLA,1.0,4.3,5548.0,"[4, 6)"
shrimp,SHRIMP,1.0,11.95,4888.0,"[10, 12)"
beef broth,BEEF WITH BONE,0.8878119,19.54,4604.0,"[18, 20)"
feta cheese,CHEESE SEMIHARD,0.8782011,8.65,4192.0,"[8, 10)"
cheese,CHEESE,1.0,11.87,3694.0,"[10, 12)"
pork,PORK NECK,0.9637343,4.03,3610.0,"[4, 6)"
monterey jack cheese,CHEESE SEMIHARD,0.818584,8.65,3182.0,"[8, 10)"
ricotta cheese,CHEESE SEMIHARD,0.8821843,8.65,2788.0,"[8, 10)"
whipping cream,CREAM,0.8703692,5.34,2466.0,"[4, 6)"
chocolate,CHOCOLATE,1.0000002,6.6,2098.0,"[6, 8)"
lamb,LAMB WITH BONE,0.814067,18.01,1880.0,"[18, 20)"
beef stock,BEEF WITH BONE,0.8372156,19.54,1840.0,"[18, 20)"
chocolate chip,CHOCOLATE,0.9331613,6.6,1470.0,"[6, 8)"
cottage cheese,CHEESE,0.8321709,11.87,1410.0,"[10, 12)"
sausage,PORK SAUSAGE,0.87622166,17.94,1138.0,"[16, 18)"
prosciutto,STRACCHINO,0.8411445,4.92,1114.0,"[4, 6)"
provolone cheese,CHEESE,0.889644,11.87,1068.0,"[10, 12)"
chorizo sausage,PORK SAUSAGE,0.8589908,17.94,1060.0,"[16, 18)"
