RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
onion,ONION,1.0000005,0.24
butter,BUTTER,1.0000001,9.9
garlic clove,GARLIC,0.93091893,0.67
water,WATER,0.9999997,0.49
olive oil,OLIVE OIL,1.0000002,3.84
egg,EGG,1.0000001,3.23
sugar,BEET SUGAR,0.858168,0.89
tomato,TOMATO,1.0,0.48
garlic,GARLIC,1.0,0.67
milk,CREAM,0.81191385,5.34
pepper,PEPPER,1.0000002,0.58
salt pepper,PEPPER,0.8245215,0.58
flour,MILLET FLOUR,0.88617915,1.37
cinnamon,VANILLA,0.8133867,4.3
lemon juice,LEMON,0.8710406,0.22
carrot,CARROT,0.99999994,0.23
purpose flour,MILLET FLOUR,0.8498385,1.37
vegetable oil,VEGETABLE,0.89689827,0.69
cumin,QUORN,0.91676456,2.5
cream,CREAM,1.0000002,5.34
ginger,GINGER,1.0000001,0.88
parmesan cheese,CHEESE SEMIHARD,0.8920519,8.65
soy sauce,SOY CREAM,0.9272915,1.62
beef,BEEF WITH BONE,0.8734178,19.54
potato,POTATO,1.0000002,0.25
green onion,GREEN BEAN,0.8683422,0.73
chicken broth,CHICKEN WITH BONE,0.8774245,3.25
lemon,LEMON,1.0000001,0.22
lime juice,LIME,0.81405807,0.22
chicken breast,CHICKEN WITH BONE,0.906942,3.25
mushroom,MUSHROOM,1.0000001,1.78
garlic powder,GARLIC,0.89976156,0.67
celery,CELERY,1.0,0.32
cheddar cheese,CHEESE SEMIHARD,0.8905337,8.65
cornstarch,CORN CAN,0.91880035,1.36
nutmeg,CASHEW NUT,0.8457706,1.56
white wine,WINE WHITE,0.9386349,0.74
vanilla extract,VANILLA,0.9132891,4.3
honey,HONEY,1.0000001,1.74
red bell pepper,RED CHILLI,0.84090567,0.8
tomato paste,TOMATO PEEL,0.961458,1.28
coriander,RADISH,0.8292822,0.15
chicken,CHICKEN WITH BONE,0.8235208,3.25
tomato sauce,TOMATO PEEL,0.92917967,1.28
mozzarella cheese,CHEESE SEMIHARD,0.85898393,8.65
almond,ALMOND,1.0000001,1.9
bacon,BACON,1.0000002,4.03
green bell pepper,GREEN BEAN,0.85023445,0.73
red pepper,RED CHILLI,0.8718159,0.8
turmeric,RADISH,0.82060635,0.15
cream cheese,HAZELNUT CREAM,0.8464663,2.71
rice,RICE,0.99999976,2.54
mayonnaise,MAYONNAISE,1.0000001,2.04
egg yolk,EGG PASTA,0.8684482,3.19
shallot,HAKE,0.81258374,10.12
green pepper,GREEN BEAN,0.8871416,0.73
vanilla,VANILLA,1.0,4.3
sesame oil,SESAME SEED,0.90985984,0.88
chicken stock,CHICKEN WITH BONE,0.82998073,3.25
scallion,GHERKIN,0.89594865,0.23
zucchini,ZUCCHINI,1.0,0.65
spinach,SPINACH,0.9999995,0.48
shrimp,SHRIMP,1.0,11.95
green chilies,GREEN BEAN,0.81793123,0.73
breadcrumb,BREAD WHOLE,0.86599237,0.78
raisin,RAISIN,0.99999964,0.66
orange juice,ORANGE JUICE,0.9999999,0.62
red wine,WINE RED,0.9764541,1.02
cucumber,CUCUMBER,1.0,0.32
beef broth,BEEF WITH BONE,0.8878119,19.54
lime,LIME,1.0000004,0.22
coconut milk,COCONUT MILK,0.9999999,0.41
yellow onion,ONION,0.8160138,0.24
egg white,EGG,0.8325162,3.23
avocado,AVOCADO,0.99999976,0.54
feta cheese,CHEESE SEMIHARD,0.8782011,8.65
flour tortilla,SORGHUM FLOUR,0.865431,1.33
red wine vinegar,WINE RED,0.92922735,1.02
coconut,COCONUT,1.0,1.78
walnut,WALNUT,1.0000001,1.75
lemon zest,LEMON,0.90579784,0.22
cheese,CHEESE,1.0,11.87
sesame seed,SESAME SEED,1.0000002,0.88
corn,CORN CAN,0.9656997,1.36
