RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
onion,ONION,1.0000005,0.24,69096.0,"[0, 2)"
garlic clove,GARLIC,0.93091893,0.67,49786.0,"[0, 2)"
water,WATER,0.9999997,0.49,49546.0,"[0, 2)"
sugar,BEET SUGAR,0.858168,0.89,40542.0,"[0, 2)"
tomato,TOMATO,1.0,0.48,33250.0,"[0, 2)"
garlic,GARLIC,1.0,0.67,30872.0,"[0, 2)"
pepper,PEPPER,1.0000002,0.58,24608.0,"[0, 2)"
salt pepper,PEPPER,0.8245215,0.58,20774.0,"[0, 2)"
lemon juice,LEMON,0.8710406,0.22,19018.0,"[0, 2)"
carrot,CARROT,0.99999994,0.23,18174.0,"[0, 2)"
vegetable oil,VEGETABLE,0.89689827,0.69,18036.0,"[0, 2)"
ginger,GINGER,1.0000001,0.88,16816.0,"[0, 2)"
potato,POTATO,1.0000002,0.25,14528.0,"[0, 2)"
green onion,GREEN BEAN,0.8683422,0.73,14148.0,"[0, 2)"
lemon,LEMON,1.0000001,0.22,10986.0,"[0, 2)"
lime juice,LIME,0.81405807,0.22,10956.0,"[0, 2)"
garlic powder,GARLIC,0.89976156,0.67,9532.0,"[0, 2)"
celery,CELERY,1.0,0.32,9216.0,"[0, 2)"
white wine,WINE WHITE,0.9386349,0.74,7944.0,"[0, 2)"
red bell pepper,RED CHILLI,0.84090567,0.8,7820.0,"[0, 2)"
coriander,RADISH,0.8292822,0.15,7412.0,"[0, 2)"
green bell pepper,GREEN BEAN,0.85023445,0.73,6344.0,"[0, 2)"
red pepper,RED CHILLI,0.8718159,0.8,6330.0,"[0, 2)"
turmeric,RADISH,0.82060635,0.15,6216.0,"[0, 2)"
green pepper,GREEN BEAN,0.8871416,0.73,5622.0,"[0, 2)"
sesame oil,SESAME SEED,0.90985984,0.88,5522.0,"[0, 2)"
scallion,GHERKIN,0.89594865,0.23,5248.0,"[0, 2)"
zucchini,ZUCCHINI,1.0,0.65,5150.0,"[0, 2)"
spinach,SPINACH,0.9999995,0.48,5048.0,"[0, 2)"
green chilies,GREEN BEAN,0.81793123,0.73,4880.0,"[0, 2)"
breadcrumb,BREAD WHOLE,0.86599237,0.78,4758.0,"[0, 2)"
raisin,RAISIN,0.99999964,0.66,4688.0,"[0, 2)"
