RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
beef eye,BEEF WITH BONE,0.89946234,19.54,98.0,"[18, 20)"
kumara,HAKE,0.81551254,10.12,96.0,"[10, 12)"
bulk pork sausage,PORK SAUSAGE,0.94925475,17.94,96.0,"[16, 18)"
beef stock cube,BEEF WITH BONE,0.8281396,19.54,94.0,"[18, 20)"
beef liver,BEEF WITH BONE,0.9011812,19.54,94.0,"[18, 20)"
kielbasa sausage,PORK SAUSAGE,0.83409476,17.94,92.0,"[16, 18)"
turkey sausage,PORK SAUSAGE,0.85951567,17.94,92.0,"[16, 18)"
center pork chop,PORK SAUSAGE,0.88637835,17.94,90.0,"[16, 18)"
turkey bacon,BACON,0.8692145,4.03,88.0,"[4, 6)"
anise,HAKE,0.86332864,10.12,88.0,"[10, 12)"
neufchatel cheese,CHEESE,0.8316383,11.87,86.0,"[10, 12)"
beef cube,BEEF WITH BONE,0.87501,19.54,86.0,"[18, 20)"
catfish fillet,CATFISH,0.92000043,8.93,86.0,"[8, 10)"
pork shoulder roast,PORK SAUSAGE,0.9070132,17.94,84.0,"[16, 18)"
gnocchi,STRACCHINO,0.9007031,4.92,84.0,"[4, 6)"
pork bean,PORK HAM,0.9021554,7.93,84.0,"[6, 8)"
sandwich bun,BACON,0.8326254,4.03,84.0,"[4, 6)"
tuna olive oil,TUNA,0.8203026,4.68,82.0,"[4, 6)"
ham steak,PORK HAM,0.8724075,7.93,82.0,"[6, 8)"
bocconcini,PECORINO,0.858147,18.85,82.0,"[18, 20)"
wakame,HAKE,0.87322354,10.12,80.0,"[10, 12)"
aniseed,HAKE,0.86211437,10.12,80.0,"[10, 12)"
vanilla wafer,VANILLA,0.88660324,4.3,80.0,"[4, 6)"
craisins,CAMEMBERT,0.8771988,7.55,80.0,"[6, 8)"
rib beef,BEEF WITH BONE,0.9055419,19.54,78.0,"[18, 20)"
sausage meat,PORK SAUSAGE,0.93914855,17.94,78.0,"[16, 18)"
pernod,CAMEMBERT,0.8935758,7.55,78.0,"[6, 8)"
prosciutto ham,BACON,0.8133706,4.03,78.0,"[4, 6)"
pepperjack cheese,CHEESE SEMIHARD,0.83979577,8.65,78.0,"[8, 10)"
orecchiette,PECORINO,0.8694669,18.85,76.0,"[18, 20)"
rib eye steak,BEEF WITH BONE,0.8486572,19.54,76.0,"[18, 20)"
lamb loin chop,LAMB WITH BONE,0.84103,18.01,76.0,"[18, 20)"
